home_office,deal_status,name,created,country,industry,custom_keywords,modified,fund,drive_url,company_name,key,drive_id,document_type,deal_team
London,Nearly Completed Deal,02 Kematen Update Feb 19th Draft V1.pdf,2014-05-23T12:54:06.195040,U.K.,Manufacturing,"Aerosols,Liquids,Filler,Cosmetics",2019-02-22T08:09:10.945017,Europe,,Kematen,"kind:KnowledgeFile2,urlsafe:ahRzfmhpZ2NhcGl0YWwta3BvcnRhbHIbCxIOS25vd2xlZGdlRmlsZTIYgICAoImIjAsM,id:6245503406702592",,Investment Committee Decks (Internal),"Matthias Allgaier,Thomas Scriven,Oliver Wurtenberger"
London,Nearly Completed Deal,03 Amera MD Update July 31.pdf,2014-05-23T12:52:52.952230,U.K.,Consumer Products,"Coins,Money,Electroplating",2019-02-22T08:07:38.391427,Europe,,Amera,"kind:KnowledgeFile2,urlsafe:ahRzfmhpZ2NhcGl0YWwta3BvcnRhbHIbCxIOS25vd2xlZGdlRmlsZTIYgICAgK_huQgM,id:4757633789591552",,Investment Committee Decks (Internal),"Matthias Allgaier,Thomas Scriven,Christian Kraul-von renner"
Miami,Closed / Unrealized,070529-JTE-Pendum-V12.pdf,2014-05-28T14:26:16.473080,U.S.,Business Services,"ATM,Maintenance,Service,Cash,Armored",2019-02-22T08:09:27.513767,Bayside,,Pendum,"kind:KnowledgeFile2,urlsafe:ahRzfmhpZ2NhcGl0YWwta3BvcnRhbHIbCxIOS25vd2xlZGdlRmlsZTIYgICA4MHf1QsM,id:6569565265854464",,Investment Committee Decks (Internal),"Sean Ozbolt,Jason Eglit,Seth Goldberg,Matt Fixler"
Hamburg,Nearly Completed Deal,081113 Project Alpha Info Memo_HIG.pdf,2016-03-03T22:25:42.737760,Germany,Automotive,"Metal hoses,Expansion joints,Flexible metal components,Vendor loan",2019-02-22T08:09:09.666636,Europe,,BOA Group,"kind:KnowledgeFile2,urlsafe:ahRzfmhpZ2NhcGl0YWwta3BvcnRhbHIbCxIOS25vd2xlZGdlRmlsZTIYgICAgLqNiQsM,id:6232494152089600",,Intermediary CIM,Wolfgang Biedermann
Rio de Janeiro,Some Progress To Close,13.03.2014_Avengers_Deal update (March).pdf,2014-05-27T17:04:18.402090,Brazil,Media,"Internet,Advertising,Download,Games,Online media",2019-02-22T08:08:08.566183,Brazil,,Avengers,"kind:KnowledgeFile2,urlsafe:ahRzfmhpZ2NhcGl0YWwta3BvcnRhbHIbCxIOS25vd2xlZGdlRmlsZTIYgICAgPnQrAkM,id:5262844887040000",,Investment Committee Decks (Internal),"Fernando Marques Oliveira,Rodrigo Feitosa,Andre Britto"
Miami,Closed / Unrealized,2. Boomerang_Lender_Presentation_FINAL.pdf,2014-05-20T20:42:44.371160,U.S.,Business Services,"Collections,Business Process Outsourcing,Accounts Receivable Management,Call Center",2019-02-22T08:09:22.892643,LBO,,Integrity Solution Services,"kind:KnowledgeFile2,urlsafe:ahRzfmhpZ2NhcGl0YWwta3BvcnRhbHIbCxIOS25vd2xlZGdlRmlsZTIYgICAwPKNuwsM,id:6452411644248064",,Lender/Management Presentation,"Jeff Zanarini,Roman Krislav,Gaurav Golechha,Brandon Howard"
Miami,Closed / Unrealized,2.4.13_Grupo Hima Investment Overview.pdf,2014-05-28T14:51:42.397070,U.S.,Healthcare,"Hospitals,Puerto Rico,Healthcare Provider,Acute Care,Mi Salud",2019-02-22T08:08:32.900920,WhiteHorse,,Grupo HIMA San Pablo,"kind:KnowledgeFile2,urlsafe:ahRzfmhpZ2NhcGl0YWwta3BvcnRhbHIbCxIOS25vd2xlZGdlRmlsZTIYgICA4OKAiwoM,id:5677904553836544",,Investment Committee Decks (Internal),"Javier Casillas,Josh Weinstein,Shyam Mehta"
Boston,Active,2006 - HealthSTAR Sale Memo.pdf,2015-02-02T17:17:18.901010,U.S.,Business Services,Healthcare,2019-02-22T08:08:34.635516,LBO,,"HealthStar Communications, Inc.","kind:KnowledgeFile2,urlsafe:ahRzfmhpZ2NhcGl0YWwta3BvcnRhbHIbCxIOS25vd2xlZGdlRmlsZTIYgICAgLnHjQoM,id:5689128981102592",,Intermediary CIM,Bill Nolan
Boston,Active,2007 - HealthSTAR Sale Memo.pdf,2015-02-02T17:17:27.543980,U.S.,Business Services,Healthcare,2019-02-22T08:09:16.474173,LBO,,"HealthStar Communications, Inc.","kind:KnowledgeFile2,urlsafe:ahRzfmhpZ2NhcGl0YWwta3BvcnRhbHIbCxIOS25vd2xlZGdlRmlsZTIYgICAwMiTnQsM,id:6320665133056000",,Intermediary CIM,Bill Nolan
Boston,Active,2008 - HealthSTAR Overview.pdf,2015-02-02T17:17:48.226560,U.S.,Business Services,Healthcare,2019-02-22T08:08:37.545893,LBO,,"HealthStar Communications, Inc.","kind:KnowledgeFile2,urlsafe:ahRzfmhpZ2NhcGl0YWwta3BvcnRhbHIbCxIOS25vd2xlZGdlRmlsZTIYgICA4KHpkwoM,id:5716679250149376",,Intermediary CIM,Bill Nolan
Boston,Active,2008 - HealthSTAR Partner Presentation.pdf,2015-02-02T17:17:58.974110,U.S.,Business Services,Healthcare,2019-02-22T08:09:25.760852,LBO,,"HealthStar Communications, Inc.","kind:KnowledgeFile2,urlsafe:ahRzfmhpZ2NhcGl0YWwta3BvcnRhbHIbCxIOS25vd2xlZGdlRmlsZTIYgICA4OKAywsM,id:6522329483968512",,Investment Committee Decks (Internal),Bill Nolan
Hamburg,Nearly Completed Deal,2008-06-24_ CeDo Presentation_V2.pdf,2016-03-03T22:25:32.231250,Germany,Consumer Products,"White-label household goods,Plastic bags,Plastic recycling,Refuse sacks,Bin liners",2019-02-22T08:08:59.958712,Europe,,CeDo,"kind:KnowledgeFile2,urlsafe:ahRzfmhpZ2NhcGl0YWwta3BvcnRhbHIbCxIOS25vd2xlZGdlRmlsZTIYgICAgN6Q4QoM,id:6056685034536960",,Intermediary CIM,"Wolfgang Biedermann,Klaas Reineke,Christian Kraul-von Renner"
Hamburg,Nearly Completed Deal,2008-06-30 mdexx deal overview MD Meeting 7-15-2008 v8.pdf,2014-05-23T12:56:33.768830,Germany,Manufacturing,"magnetronic devices,fans,Transformers,Power Supplies,Reactors",2019-02-22T08:09:33.632573,Europe,,Mdexx,"kind:KnowledgeFile2,urlsafe:ahRzfmhpZ2NhcGl0YWwta3BvcnRhbHIbCxIOS25vd2xlZGdlRmlsZTIYgICAgPnQ7AsM,id:6670219770593280",,Investment Committee Decks (Internal),"Lars Hirche,Jï¿½rn-Marc Vogler,Oliver Wurtenberger"
Hamburg,Early Pass,2008-11-21 Deal overview Diolen.pdf,2014-05-23T12:49:38.728690,Germany,Manufacturing,"technical yarn,seat belts,PET,polyester",2019-02-22T08:07:58.140141,Europe,,Diolen,"kind:KnowledgeFile2,urlsafe:ahRzfmhpZ2NhcGl0YWwta3BvcnRhbHIbCxIOS25vd2xlZGdlRmlsZTIYgICAgLnHjQkM,id:5126179027681280",,Investment Committee Decks (Internal),"Wolfgang Biederman,Johannes Natterer,Christian Kraul-von Renner"
Hamburg,Early Pass,"2008-11-28 MD pres Parcel, v14.pdf",2014-05-23T13:25:51.250380,Germany,Business Services,"Broker of Airfreight Capacity,Logistics Servcies,Debt restructuring",2019-02-22T08:09:25.457473,Europe,,Parcel,"kind:KnowledgeFile2,urlsafe:ahRzfmhpZ2NhcGl0YWwta3BvcnRhbHIbCxIOS25vd2xlZGdlRmlsZTIYgICAgLzLygsM,id:6520498015961088",,Investment Committee Decks (Internal),"Wolfgang Biedermann,Klaas Reineke"
Hamburg,Nearly Completed Deal,2009-07-16 Key Learnings of Trevira deal for insolvencies_v3.pdf,2014-05-23T12:50:51.018450,Germany,Manufacturing,"Polyester Yarns,Technical Textiles,Insolvency,Lesson's learned",2019-02-22T08:07:32.715792,Europe,,Trevira,"kind:KnowledgeFile2,urlsafe:ahRzfmhpZ2NhcGl0YWwta3BvcnRhbHIbCxIOS25vd2xlZGdlRmlsZTIYgICA4OLypwgM,id:4679066959478784",,Investment Committee Decks (Internal),"Wolfgang Biedermann,Jens Alsleben,Lars Hirche,Johannes Natterer"
Hamburg,Nearly Completed Deal,"2010-01-20 TFL MD Presentation, final.pdf",2014-05-23T12:57:07.568940,Germany,Chemicals,"Leather,Stahl,Buy and build,Lanxess,BASF",2019-02-22T08:07:53.922017,Europe,,TFL,"kind:KnowledgeFile2,urlsafe:ahRzfmhpZ2NhcGl0YWwta3BvcnRhbHIbCxIOS25vd2xlZGdlRmlsZTIYgICAwMiT_QgM,id:5054027737858048",,Investment Committee Decks (Internal),"Lars Hirche,Johannes Natterer"
Hamburg,Early Pass,2010-11-12 Inventux- Overview on Market and Technology final.pdf,2014-05-23T12:51:47.401680,Germany,Energy Services,"Thin-film solar modules producer,Photovoltaic,Renewable energy",2019-02-22T08:09:02.936514,Europe,,Inventux,"kind:KnowledgeFile2,urlsafe:ahRzfmhpZ2NhcGl0YWwta3BvcnRhbHIbCxIOS25vd2xlZGdlRmlsZTIYgICAgPnQ7AoM,id:6107269817171968",,Investment Committee Decks (Internal),"Wolfgang Biedermann,Johannes Natterer,Patrick Stein-Kaempfe"
Hamburg,Early Pass,2010-11-13 Inventux MD Presentation vfinal.pdf,2014-05-23T12:56:59.293020,Germany,Energy Services,"Thin-film solar modules producer,Photovoltaic,Renewable energy",2019-02-22T08:09:05.302411,Europe,,Inventux,"kind:KnowledgeFile2,urlsafe:ahRzfmhpZ2NhcGl0YWwta3BvcnRhbHIbCxIOS25vd2xlZGdlRmlsZTIYgICA4JCl-AoM,id:6158540922159104",,Investment Committee Decks (Internal),"Wolfgang Biedermann,Johannes Natterer,Patrick Stein-Kaempfe"
Rio de Janeiro,Nearly Completed Deal,2011-04-01 - Onofre - PDM.pdf,2014-05-27T17:04:26.941960,Brazil,Consumer Products,"Pharmacy,Retail",2019-02-22T08:09:14.167683,Brazil,,Onofre,"kind:KnowledgeFile2,urlsafe:ahRzfmhpZ2NhcGl0YWwta3BvcnRhbHIbCxIOS25vd2xlZGdlRmlsZTIYgICAwPrKlgsM,id:6291782014861312",,Investment Committee Decks (Internal),"Fernando Marques Oliveira,Marcelo Cecchetto,Gabriel Verea"
Boston,Active,2012 - HealthSTAR Partner Presentation.pdf,2015-02-02T17:18:08.344370,U.S.,Business Services,Healthcare,2019-02-22T08:07:31.955448,LBO,,"HealthStar Communications, Inc.","kind:KnowledgeFile2,urlsafe:ahRzfmhpZ2NhcGl0YWwta3BvcnRhbHIbCxIOS25vd2xlZGdlRmlsZTIYgICAgN3GpAgM,id:4664359447953408",,Investment Committee Decks (Internal),Bill Nolan
Boston,Active,2012 - HealthSTAR Sale Memo.pdf,2015-02-02T17:18:23.998080,U.S.,Business Services,Healthcare,2019-02-22T08:09:28.540465,LBO,,"HealthStar Communications, Inc.","kind:KnowledgeFile2,urlsafe:ahRzfmhpZ2NhcGl0YWwta3BvcnRhbHIbCxIOS25vd2xlZGdlRmlsZTIYgICA4JCl2AsM,id:6580753387225088",,Intermediary CIM,Bill Nolan
Rio de Janeiro,Nearly Completed Deal,2012 08 08_-_Aminoagro_v4.pdf,2014-05-27T17:04:35.889840,Brazil,Chemicals,"Fertilizer,Agribusiness",2019-02-22T08:09:07.294129,Brazil,,Aminoagro,"kind:KnowledgeFile2,urlsafe:ahRzfmhpZ2NhcGl0YWwta3BvcnRhbHIbCxIOS25vd2xlZGdlRmlsZTIYgICAgLrc_woM,id:6191228106309632",,Investment Committee Decks (Internal),"Fernando Marques Oliveira,Leonardo Yamamoto,Rodrigo Azevedo"
Rio de Janeiro,Early Pass,2012 10 10_-_Multilit_v2.pdf,2014-05-27T17:04:44.032990,Brazil,Building Products,"Fiber-cement,PVC",2019-02-22T08:08:31.254634,Brazil,,Grupo Multilit,"kind:KnowledgeFile2,urlsafe:ahRzfmhpZ2NhcGl0YWwta3BvcnRhbHIbCxIOS25vd2xlZGdlRmlsZTIYgICAgK-GiAoM,id:5664902681198592",,Investment Committee Decks (Internal),"Fernando Marques Oliveira,Leonardo Yamamoto,Rodrigo Azevedo"
Rio de Janeiro,Nearly Completed Deal,2012.05.21_-_New_otica_v4.pdf,2014-05-27T17:04:53.124850,Brazil,Consumer Products,"Eyewear,Sunglasses,Contact lenses",2019-02-22T08:07:26.630883,Brazil,,New Otica,"kind:KnowledgeFile2,urlsafe:ahRzfmhpZ2NhcGl0YWwta3BvcnRhbHIbCxIOS25vd2xlZGdlRmlsZTIYgICAgK-ciQgM,id:4544156735111168",,Investment Committee Decks (Internal),"Fernando Marques Oliveira,Leonardo Yamamoto,Gabriel Verea"
Rio de Janeiro,Nearly Completed Deal,2012.06.05_-_Interplayers_v6.pdf,2014-05-27T17:05:01.966610,Brazil,Business Services,"EDI,CSMO,PBM",2019-02-22T08:09:08.825142,Brazil,,Interplayers,"kind:KnowledgeFile2,urlsafe:ahRzfmhpZ2NhcGl0YWwta3BvcnRhbHIbCxIOS25vd2xlZGdlRmlsZTIYgICAwMzMhgsM,id:6221469642129408",,Investment Committee Decks (Internal),"Fernando Marques Oliveira,Leonardo Yamamoto,Gabriel Verea"
Rio de Janeiro,Nearly Completed Deal,2012.06.05_-_Vivenda_v5.pdf,2014-05-27T17:05:11.694460,Brazil,Consumer Products,"Shrimp,Frozen food,Franchising",2019-02-22T08:08:45.699177,Brazil,,Vivenda do Camarao,"kind:KnowledgeFile2,urlsafe:ahRzfmhpZ2NhcGl0YWwta3BvcnRhbHIbCxIOS25vd2xlZGdlRmlsZTIYgICAwMiqpAoM,id:5789291779194880",,Investment Committee Decks (Internal),"Fernando Marques Oliveira,Leonardo Yamamoto,Gabriel Verea"
Rio de Janeiro,Nearly Completed Deal,2012.07.30_-_RHMed_v11.pdf,2014-05-27T17:05:21.456520,Brazil,Business Services,"OSH,PCMSO",2019-02-22T08:08:08.261874,Brazil,,RHMed,"kind:KnowledgeFile2,urlsafe:ahRzfmhpZ2NhcGl0YWwta3BvcnRhbHIbCxIOS25vd2xlZGdlRmlsZTIYgICAgLzLqgkM,id:5253860620763136",,Investment Committee Decks (Internal),"Fernando Marques Oliveira,Leonardo Yamamoto,Gabriel Verea"
Rio de Janeiro,Nearly Completed Deal,2012.08.15_-_DressTo_v5.pdf,2014-05-27T17:05:29.409200,Brazil,Consumer Products,"Fast Fashion,Franchising",2019-02-22T08:07:30.527415,Brazil,,DressTo,"kind:KnowledgeFile2,urlsafe:ahRzfmhpZ2NhcGl0YWwta3BvcnRhbHIbCxIOS25vd2xlZGdlRmlsZTIYgICAwMjFnAgM,id:4629135213199360",,Investment Committee Decks (Internal),"Fernando Marques Oliveira,Leonardo Yamamoto,Rodrigo Azevedo"
Rio de Janeiro,Nearly Completed Deal,2012.08.22_-_Pinkbiju_v7.pdf,2014-05-27T17:05:37.925770,Brazil,Distribution,"Women Accessories,Fast Fashion,Franchising",2019-02-22T08:09:32.868304,Brazil,,Pinkbiju,"kind:KnowledgeFile2,urlsafe:ahRzfmhpZ2NhcGl0YWwta3BvcnRhbHIbCxIOS25vd2xlZGdlRmlsZTIYgICAgK-G6AsM,id:6650065099685888",,Investment Committee Decks (Internal),"Fernando Marques Oliveira,Leonardo Yamamoto,Rodrigo Azevedo"
Rio de Janeiro,Nearly Completed Deal,2012.09.17_-_DBTRANS_vf.pdf,2014-05-27T17:05:49.523090,Brazil,Technology,"Payment solution,Electronic toll collection",2019-02-22T08:09:24.759647,Brazil,,DBTrans,"kind:KnowledgeFile2,urlsafe:ahRzfmhpZ2NhcGl0YWwta3BvcnRhbHIbCxIOS25vd2xlZGdlRmlsZTIYgICAgK-GyAsM,id:6509327611330560",,Investment Committee Decks (Internal),"Fernando Marques Oliveira,Leonardo Yamamoto,Gabriel Verea"
